lib,HitRate@20,MAP@20,MRR@20,NDCG@20,Precision@20,Recall@20,RocAuc@20,RocAuc
DaisyRec, 0.47457006952067327, 0.022970972145948697*, 0.2748816881385201, 0.09326437896736813, 0.0575192096597146, 0.09632131280310641, FAILED (0.19139559641952136 | 0.4033031341669637), -
RecBole, 0.47457006952067327, 0.03927176078866248, 0.18632413351027097, 0.09326437896736814, 0.057519209659714604, 0.09632131280310642, -, 0.686625474152309 
Elliot, 0.47457006952067327, 0.07298532565140084, 0.18632413351027094, 0.08984914516171721, 0.0575192096597146, 0.09632131280310641, -, 0.6881719788628613
Beta_recsys, -, 0.031690245847362415, -, 0.09326437896736813, 0.0575192096597146, 0.09632131280310642, -, 0.686625474152309
MS_Recommenders, -, 0.031690245847362415, -, 0.09326437896736813, 0.0575192096597146, 0.09632131280310642, -, 0.686625474152309
OpenRec, -, -, -, 0.4626283, 0.0575192096597146, 0.096321315, -, 0.7048781
NeuRec, 0.47457007, 0.0028783712115732244, 0.18632413, 0.09326437896736813, 0.0575192096597146, 0.096321315, -, -
RecSys2019_DL_Eval, 1.150384193194292, 0.03927176078866242, 0.18632413351027025, 0.07981995730519437, 0.057519209659714604, 0.09632131280310642, 0.28317447310115185, -
RS_metrics, 0.47457006952067327, 0.031690245847362415, 0.18632413351027097, 0.09326437896736813, 0.057519209659714604, 0.09632131280310642, -, -
